date,race,count,frac,Race
2021-01-28,BLACK OR AFRICAN AMERICAN,31607,0.027157093607442014,Black/AfAm
2021-01-28,OTHER/MULTIRACIAL,51060,0.18805205348607001,OTHER/MULTIRACIAL
2021-01-28,UNKNOWN,128708,0,UNKNOWN
2021-01-28,WHITE,361376,0.06707853334598489,Caucasian/White
2021-01-29,ASIAN,6599,0.05430178511255544,Asian
2021-01-29,BLACK OR AFRICAN AMERICAN,34316,0.029484697194703074,Black/AfAm
2021-01-29,OTHER/MULTIRACIAL,53981,0.19880998627558844,OTHER/MULTIRACIAL
2021-01-29,UNKNOWN,129162,0,UNKNOWN
2021-01-29,WHITE,388630,0.07213741480964454,Caucasian/White
2021-01-30,ASIAN,6923,0.056967913067771075,Asian
2021-01-30,BLACK OR AFRICAN AMERICAN,36499,0.03136035560407587,Black/AfAm
2021-01-30,OTHER/MULTIRACIAL,56604,0.20847039630876432,OTHER/MULTIRACIAL
2021-01-30,UNKNOWN,126420,0,UNKNOWN
2021-01-30,WHITE,417051,0.07741291455568809,Caucasian/White
2021-01-31,ASIAN,7123,0.05861367106481777,Asian
2021-01-31,BLACK OR AFRICAN AMERICAN,38021,0.03266807530131151,Black/AfAm
2021-01-31,OTHER/MULTIRACIAL,57428,0.21150515721891947,OTHER/MULTIRACIAL
2021-01-31,UNKNOWN,125798,0,UNKNOWN
2021-01-31,WHITE,426167,0.07910502446332446,Caucasian/White
2021-02-01,ASIAN,7298,0.06005370931223362,Asian
2021-02-01,BLACK OR AFRICAN AMERICAN,38938,0.03345597212283915,Black/AfAm
2021-02-01,OTHER/MULTIRACIAL,58753,0.2163850822261471,OTHER/MULTIRACIAL
2021-02-01,UNKNOWN,124040,0,UNKNOWN
2021-02-01,WHITE,438002,0.0813018345507396,Caucasian/White
2021-02-02,ASIAN,7536,0.06201216132871917,Asian
2021-02-02,BLACK OR AFRICAN AMERICAN,40645,0.034922645922564007,Black/AfAm
2021-02-02,OTHER/MULTIRACIAL,61037,0.22479696804992666,OTHER/MULTIRACIAL
2021-02-02,UNKNOWN,122639,0,UNKNOWN
2021-02-02,WHITE,459717,0.08533256805713753,Caucasian/White
2021-02-03,ASIAN,7828,0.06441496800440734,Asian
2021-02-03,BLACK OR AFRICAN AMERICAN,43010,0.0369546808003316,Black/AfAm
2021-02-03,OTHER/MULTIRACIAL,64032,0.2358274400473959,OTHER/MULTIRACIAL
2021-02-03,UNKNOWN,120377,0,UNKNOWN
2021-02-03,WHITE,487953,0.09057372814401997,Caucasian/White
2021-02-04,ASIAN,8142,0.06699880805977064,Asian
2021-02-04,BLACK OR AFRICAN AMERICAN,45972,0.039499664862888736,Black/AfAm
2021-02-04,OTHER/MULTIRACIAL,67318,0.24792965406532042,OTHER/MULTIRACIAL
2021-02-04,UNKNOWN,119802,0,UNKNOWN
2021-02-04,WHITE,516254,0.09582695351655361,Caucasian/White
2021-02-05,ASIAN,8567,0.07049604380349485,Asian
2021-02-05,BLACK OR AFRICAN AMERICAN,49234,0.042302412334887844,Black/AfAm
2021-02-05,OTHER/MULTIRACIAL,70256,0.25875019721342213,OTHER/MULTIRACIAL
2021-02-05,UNKNOWN,119935,0,UNKNOWN
2021-02-05,WHITE,545086,0.10117874299186862,Caucasian/White
2021-02-06,ASIAN,8974,0.07384516132748485,Asian
2021-02-06,BLACK OR AFRICAN AMERICAN,52223,0.04487059510429475,Black/AfAm
2021-02-06,OTHER/MULTIRACIAL,73624,0.27115441413745434,OTHER/MULTIRACIAL
2021-02-06,UNKNOWN,119250,0,UNKNOWN
2021-02-06,WHITE,568560,0.10553598168996603,Caucasian/White
2021-02-07,ASIAN,9212,0.07580361334397041,Asian
2021-02-07,BLACK OR AFRICAN AMERICAN,53790,0.04621697931294669,Black/AfAm
2021-02-07,OTHER/MULTIRACIAL,74762,0.2753456252002657,OTHER/MULTIRACIAL
2021-02-07,UNKNOWN,119143,0,UNKNOWN
2021-02-07,WHITE,576901,0.10708423626868421,Caucasian/White
2021-02-08,ASIAN,9436,0.0776468623006627,Asian
2021-02-08,BLACK OR AFRICAN AMERICAN,55880,0.048012731065392465,Black/AfAm
2021-02-08,OTHER/MULTIRACIAL,76487,0.2816987351153356,OTHER/MULTIRACIAL
2021-02-08,UNKNOWN,119374,0,UNKNOWN
2021-02-08,WHITE,587753,0.10909858211309731,Caucasian/White
2021-02-09,ASIAN,9749,0.08022247356604077,Asian
2021-02-09,BLACK OR AFRICAN AMERICAN,58157,0.04996915534305708,Black/AfAm
2021-02-09,OTHER/MULTIRACIAL,79070,0.29121182665772727,OTHER/MULTIRACIAL
2021-02-09,UNKNOWN,119767,0,UNKNOWN
2021-02-09,WHITE,609599,0.1131536318105769,Caucasian/White
2021-02-10,ASIAN,10170,0.08368679414982405,Asian
2021-02-10,BLACK OR AFRICAN AMERICAN,60646,0.05210773243006069,Black/AfAm
2021-02-10,OTHER/MULTIRACIAL,82137,0.30250747193860816,OTHER/MULTIRACIAL
2021-02-10,UNKNOWN,119384,0,UNKNOWN
2021-02-10,WHITE,641600,0.11909365036633285,Caucasian/White
2021-02-11,ASIAN,10502,0.08641875242492154,Asian
2021-02-11,BLACK OR AFRICAN AMERICAN,62610,0.053795223550540845,Black/AfAm
2021-02-11,OTHER/MULTIRACIAL,85334,0.3142819023145378,OTHER/MULTIRACIAL
2021-02-11,UNKNOWN,120429,0,UNKNOWN
2021-02-11,WHITE,661528,0.12279268132721234,Caucasian/White
